"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/15/2022","78","PM10","HIDDEN VALLEY","04-021-3015","AQS","11","67","78","76","43"
"04/16/2022","75","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","51","60","75","35"
"04/17/2022","75","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","74","66","75","41"
"04/18/2022","105","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","101","105","77","42"
"04/19/2022","97","PM10","WEST 43RD AVENUE","04-013-4009","AQS","6","58","97","68","42"
"04/20/2022","70","PM10","WEST 43RD AVENUE","04-013-4009","AQS","3","51","70","61","40"
"04/21/2022","80","PM10","HIDDEN VALLEY","04-021-3015","AQS","5","58","80","60","32"
"04/22/2022","131","PM10","WEST 43RD AVENUE","04-013-4009","AQS","3","48","131","60","33"
"04/23/2022","84","Ozone","QUEEN VALLEY","04-021-8001","AQS","3","84","72","69","34"
"04/24/2022","71","PM10","STANFIELD","04-021-3008","AQS","5","71","71","49","32"
"04/25/2022","112","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","8","112","69","67","65"
"04/26/2022","119","Ozone","NORTH PHOENIX","04-013-1004","AQS","11","119","98","112","51"
"04/27/2022","84","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","84","72","61","42"
"04/28/2022","77","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","5","77","64","71","37"
"04/29/2022","133","Ozone","QUEEN VALLEY","04-021-8001","AQS","5","133","67","70","40"
"04/30/2022","105","Ozone","FALCON FIELD","04-013-1010","AQS","7","105","94","67","42"
"05/01/2022","87","Ozone","PINNACLE PEAK","04-013-2005","AQS","10","87","72","62","42"
"05/02/2022","90","Ozone","FOUNTAIN HILLS","04-013-9704","AQS","5","90","76","72","42"
"05/03/2022","74","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","74","74","59","41"
"05/04/2022","84","Ozone","QUEEN VALLEY","04-021-8001","AQS","5","84","67","44","42"
"05/05/2022","107","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","101","107","76","45"
"05/06/2022","122","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","122","89","62","50"
"05/07/2022","74","Ozone","PINNACLE PEAK","04-013-2005","AQS","8","74","65","58","42"
"05/08/2022","71","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","3","51","71","67","22"
"05/09/2022","77","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","77","75","66","34"
"05/10/2022","93","Ozone","High School Air Monitoring Station","04-013-7024","AQS","7","93","61","54","48"
