"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"08/04/2021","51","PM2.5","Durham Armory","37-063-0015","AQS","44","13","51"
"08/05/2021","50","Ozone","Bushy Fork","37-145-0003","AQS","50","13","41"
"08/06/2021","51","PM2.5","Durham Armory","37-063-0015","AQS","49","14","51"
"08/07/2021","37","PM2.5","Durham Armory","37-063-0015","AQS","37","10","37"
"08/08/2021","51","PM2.5","Durham Armory","37-063-0015","AQS","47","14","51"
"08/09/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","45","18","58"
"08/10/2021","53","PM2.5","Durham Armory","37-063-0015","AQS","41","16","53"
"08/11/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","43","15","52"
"08/12/2021","53","PM2.5","Durham Armory","37-063-0015","AQS","45","15","53"
"08/13/2021","67","Ozone","Bushy Fork","37-145-0003","AQS","67","17","54"
"08/14/2021","44","PM2.5","Durham Armory","37-063-0015","AQS","40","12","44"
"08/15/2021","32","PM2.5","Durham Armory","37-063-0015","AQS","25","10","32"
"08/16/2021","27","PM2.5","Durham Armory","37-063-0015","AQS","23","12","27"
"08/17/2021","24","PM2.5","Durham Armory","37-063-0015","AQS","18","10","24"
"08/18/2021","29","Ozone","Bushy Fork","37-145-0003","AQS","29","8","14"
"08/19/2021","35","Ozone","Durham Armory","37-063-0015","AQS","35","11","34"
"08/20/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","8","21"
"08/21/2021","34","Ozone","Durham Armory","37-063-0015","AQS","34","9","28"
"08/22/2021","36","Ozone","Durham Armory","37-063-0015","AQS","36","10","33"
"08/23/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","42","18","52"
"08/24/2021","59","PM2.5","Durham Armory","37-063-0015","AQS","46","18","59"
"08/25/2021","59","PM2.5","Durham Armory","37-063-0015","AQS","47","19","59"
"08/26/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","37","19","55"
"08/27/2021","67","PM2.5","Durham Armory","37-063-0015","AQS","33","37","67"
"08/28/2021","62","PM2.5","Durham Armory","37-063-0015","AQS","41","29","62"
"08/29/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","38","23","58"
"08/30/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","37","28","58"
"08/31/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","31","29","58"
"09/01/2021","41","PM2.5","Durham Armory","37-063-0015","AQS","23","17","41"
"09/02/2021","37","Ozone","Bushy Fork","37-145-0003","AQS","37","9","14"
"09/03/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","8","24"
"09/04/2021","49","Ozone","Durham Armory","37-063-0015","AQS","49","10","34"
"09/05/2021","48","Ozone","Durham Armory","37-063-0015","AQS","48","13","46"
"09/06/2021","48","PM2.5","Durham Armory","37-063-0015","AQS","38","12","48"
"09/07/2021","51","Ozone","Durham Armory","37-063-0015","AQS","51","16","41"
"09/08/2021","54","PM2.5","Durham Armory","37-063-0015","AQS","38","16","54"
"09/09/2021","35","Ozone","Bushy Fork","37-145-0003","AQS","35","11","32"
"09/10/2021","40","Ozone","Bushy Fork","37-145-0003","AQS","40","8","19"
"09/11/2021","43","Ozone","Bushy Fork","37-145-0003","AQS","43","11","34"
"09/12/2021","46","Ozone","Bushy Fork","37-145-0003","AQS","46","13","43"
"09/13/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","47","16","52"
"09/14/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","54","19","55"
"09/15/2021","34","Ozone","Bushy Fork","37-145-0003","AQS","34","11","29"
"09/16/2021","33","Ozone","Durham Armory","37-063-0015","AQS","33","11","29"
"09/17/2021","23","Ozone","Bushy Fork","37-145-0003","AQS","23","8","14"
"09/18/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","8","22"
"09/19/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","12","35"
"09/20/2021","46","PM2.5","Durham Armory","37-063-0015","AQS","42","19","46"
"09/21/2021","24","Ozone","Durham Armory","37-063-0015","AQS","24","12","17"
"09/22/2021","34","Ozone","Bushy Fork","37-145-0003","AQS","34","6","6"
"09/23/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","7","8"
"09/24/2021","36","Ozone","Bushy Fork","37-145-0003","AQS","36","9","26"
"09/25/2021","42","Ozone","Bushy Fork","37-145-0003","AQS","42","11","32"
"09/26/2021","40","Ozone","Bushy Fork","37-145-0003","AQS","40","10","31"
"09/27/2021","50","Ozone","Bushy Fork","37-145-0003","AQS","50","13","44"
"09/28/2021","54","PM2.5","Durham Armory","37-063-0015","AQS","47","16","54"
"09/29/2021","61","PM2.5","Durham Armory","37-063-0015","AQS","46","22","61"
"09/30/2021","47","PM2.5","Durham Armory","37-063-0015","AQS","42","15","47"
"10/01/2021","51","PM2.5","Durham Armory","37-063-0015","AQS","41","18","51"
"10/02/2021","56","PM2.5","Durham Armory","37-063-0015","AQS","43","17","56"
"10/03/2021","51","PM2.5","Durham Armory","37-063-0015","AQS","39","15","51"
"10/04/2021","39","PM2.5","Durham Armory","37-063-0015","AQS","29","12","39"
"10/05/2021","49","PM2.5","Durham Armory","37-063-0015","AQS","30","17","49"
"10/06/2021","37","PM2.5","Durham Armory","37-063-0015","AQS","29","14","37"
"10/07/2021","27","Ozone","Durham Armory","37-063-0015","AQS","27","10","22"
"10/08/2021","26","Ozone","Durham Armory","37-063-0015","AQS","26","9","14"
"10/09/2021","27","Ozone","Bushy Fork","37-145-0003","AQS","27","6","21"
"10/10/2021","24","Ozone","Durham Armory","37-063-0015","AQS","24","10","19"
"10/11/2021","27","Ozone","Bushy Fork","37-145-0003","AQS","27","8","14"
"10/12/2021","27","Ozone","Durham Armory","37-063-0015","AQS","27","6","10"
"10/13/2021","37","Ozone","Durham Armory","37-063-0015","AQS","37","14","36"
"10/14/2021","44","PM2.5","Durham Armory","37-063-0015","AQS","38","16","44"
"10/15/2021","48","Ozone","Durham Armory","37-063-0015","AQS","48","16","44"
"10/16/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","32","16","52"
"10/17/2021","35","Ozone","Bushy Fork","37-145-0003","AQS","35","10","24"
"10/18/2021","40","Ozone","Bushy Fork","37-145-0003","AQS","40","10","22"
"10/19/2021","45","Ozone","Bushy Fork","37-145-0003","AQS","45","11","30"
"10/20/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","13","37"
"10/21/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","46","18","52"
"10/22/2021","45","PM2.5","Durham Armory","37-063-0015","AQS","34","15","45"
"10/23/2021","35","Ozone","Durham Armory","37-063-0015","AQS","35","10","23"
"10/24/2021","57","PM2.5","Durham Armory","37-063-0015","AQS","43","18","57"
"10/25/2021","42","PM2.5","Durham Armory","37-063-0015","AQS","32","14","42"
"10/26/2021","31","Ozone","Durham Armory","37-063-0015","AQS","31","7","6"
"10/27/2021","30","Ozone","Bushy Fork","37-145-0003","AQS","30","7","14"
"10/28/2021","32","Ozone","Bushy Fork","37-145-0003","AQS","32","10","29"
"10/29/2021","34","Ozone","Bushy Fork","37-145-0003","AQS","34","10","22"
"10/30/2021","23","PM2.5","Durham Armory","37-063-0015","AQS","18","8","23"
"10/31/2021","30","Ozone","Bushy Fork","37-145-0003","AQS","30","7","21"
"11/01/2021","28","PM2.5","Durham Armory","37-063-0015","AQS",".","10","28"
"11/02/2021","34","PM2.5","Durham Armory","37-063-0015","AQS",".","11","34"
"11/03/2021","22","PM2.5","Durham Armory","37-063-0015","AQS",".","8","22"
"11/04/2021","33","PM2.5","Durham Armory","37-063-0015","AQS",".","10","33"
"11/05/2021","32","PM2.5","Durham Armory","37-063-0015","AQS",".","10","32"
"11/06/2021","27","PM2.5","Durham Armory","37-063-0015","AQS",".","9","27"
"11/07/2021","27","PM2.5","Durham Armory","37-063-0015","AQS",".","10","27"
"11/08/2021","28","PM2.5","Durham Armory","37-063-0015","AQS",".","11","28"
"11/09/2021","48","PM2.5","Durham Armory","37-063-0015","AQS",".","15","48"
"11/10/2021","56","PM2.5","Durham Armory","37-063-0015","AQS",".","18","56"
"11/11/2021","56","PM2.5","Durham Armory","37-063-0015","AQS",".","19","56"
"11/12/2021","33","PM2.5","Durham Armory","37-063-0015","AQS",".","13","33"
"11/13/2021","42","PM2.5","Durham Armory","37-063-0015","AQS",".","12","42"
"11/14/2021","21","PM2.5","Durham Armory","37-063-0015","AQS",".","9","21"
"11/15/2021","28","PM2.5","Durham Armory","37-063-0015","AQS",".","11","28"
"11/16/2021","46","PM2.5","Durham Armory","37-063-0015","AQS",".","16","46"
"11/17/2021","61","PM2.5","Durham Armory","37-063-0015","AQS",".","24","61"
